sku,price,brand,style,brand style
30-1C-2123,$49.99 ,Adidas,Gazelle 2 Graphic,Adidas Gazelle 2 Graphic
03-3A-2119,$49.99 ,Adidas,Gazelle OP,Adidas Gazelle OP
106-7C-1127,$49.99 ,Adidas,Gil Zero Low,Adidas Gil Zero Low
129-9C-1107,$49.99 ,Adidas,Gil Zero Low (Vegas),Adidas Gil Zero Low (Vegas)
31-3B-2098,$39.99 ,Adidas,Grid Copa Promo,Adidas Grid Copa Promo
32-2B-1813,$24.99 ,Adidas,Grid Iron 2 O M,Adidas Grid Iron 2 O M
126-2B-1105,$14.99 ,Adidas,Grid Iron 7 D Low,Adidas Grid Iron 7 D Low
30-3C-1676,$49.99 ,Adidas,Halfshells Lo Citie,Adidas Halfshells Lo Citie
23606,$62.99 ,Adidas,Hornet ,Adidas Hornet 
31-3B-2092,$39.99 ,Adidas,Hybrid Hi Promo,Adidas Hybrid Hi Promo
34153,$19.99 ,Adidas,Illrahna Response NBA,Adidas Illrahna Response NBA
23765,$62.99 ,Adidas,Jett,Adidas Jett
23984,$62.99 ,Adidas,Jett M,Adidas Jett M
106-7C-1117,$49.99 ,Adidas,Jumpstar Allaround,Adidas Jumpstar Allaround
23527,$62.99 ,Adidas,Kanadia 4 TR,Adidas Kanadia 4 TR
52-4C-1318,$49.99 ,Adidas,Laver Lo,Adidas Laver Lo
12-1C-2173,$30.99 ,Adidas,Long Jump/PV,Adidas Long Jump/PV
46-3B-1169,$49.99 ,Adidas,Lux Mid,Adidas Lux Mid
134-5B-1018,$49.99 ,Adidas,Lyte Speed GCS,Adidas Lyte Speed GCS
136-9A-1053,$49.99 ,Adidas,Mad Clima,Adidas Mad Clima
106-11A-1102,$49.99 ,Adidas,Mad Clima W,Adidas Mad Clima W
23593,$62.99 ,Adidas,Marathon 10 M ,Adidas Marathon 10 M 
105-5C-1088,$49.99 ,Adidas,Master St,Adidas Master St
129-4C-1061,$49.99 ,Adidas,Master St II,Adidas Master St II
45-3A-1316,$39.99 ,Adidas,Mayhem Hi,Adidas Mayhem Hi
45-1A-1208,$39.99 ,Adidas,Mayhem Hi D Pro,Adidas Mayhem Hi D Pro
33-3B-2127,$24.99 ,Adidas,Mayhem Hi Wt,Adidas Mayhem Hi Wt
45-4A-1184,$39.99 ,Adidas,Mayhem Mid,Adidas Mayhem Mid
45-3A-1318,$39.99 ,Adidas,Mayhem Mid O,Adidas Mayhem Mid O
45-3A-1317,$39.99 ,Adidas,Mayhm Mid O Pro,Adidas Mayhm Mid O Pro
45-4A-1185,$39.99 ,Adidas,Mayhm Mid O Pro1,Adidas Mayhm Mid O Pro1
122-9C-1045,$11.99 ,Adidas,Meteor,Adidas Meteor
06-7C-1122,$49.99 ,Adidas,Meteor 07,Adidas Meteor 07
31-3B-2099,$39.99 ,Adidas,Meteor 2 Sp,Adidas Meteor 2 Sp
05-4C-1620,$49.99 ,Adidas,Nastase Lea,Adidas Nastase Lea
134-5B-1028,$49.99 ,Adidas,Nastase Mid,Adidas Nastase Mid
30-3C-1672,$49.99 ,Adidas,NBA a3 SS Ultra 2.0,Adidas NBA a3 SS Ultra 2.0
47-7A-1151,$39.99 ,Adidas,NFL Low D,Adidas NFL Low D
75784,$49.99 ,Adidas,Nizza Hi,Adidas Nizza Hi
27104,$49.99 ,Adidas,Nizza Lo,Adidas Nizza Lo
106-7C-1142,$49.99 ,Adidas,Nova Mid,Adidas Nova Mid
132-2C-1037,$49.99 ,Adidas,NZA Shell MId,Adidas NZA Shell MId
132-2C-1036,$49.99 ,Adidas,NZA Shell NBA,Adidas NZA Shell NBA
30-3C-1675,$49.99 ,Adidas,Obliterator II,Adidas Obliterator II
131-5C-1057,$49.99 ,Adidas,Obliterator St,Adidas Obliterator St
44078,$39.99 ,Adidas,Oracle,Adidas Oracle
139-6C-1027,$19.99 ,Adidas,Paydirt D,Adidas Paydirt D
45-4A-1183,$39.99 ,Adidas,Paydirt D Pro,Adidas Paydirt D Pro
44-2B-1532,$47.99 ,Adidas,Paydirt Mid,Adidas Paydirt Mid
45-4A-1188,$39.99 ,Adidas,Phenom 4 Low,Adidas Phenom 4 Low
7638,$26.99 ,Adidas,Phenom Lighting II,Adidas Phenom Lighting II
25-5C-1567,$24.99 ,Adidas,Phenom V,Adidas Phenom V
22-4C-1887,$24.99 ,Adidas,Phenom VI Pro,Adidas Phenom VI Pro
32-1C-1708,$49.99 ,Adidas,Pilrahna,Adidas Pilrahna
52-4C-1322,$49.99 ,Adidas,Pilrahna Team,Adidas Pilrahna Team
138-4A-1026,$49.99 ,Adidas,Pro Color Mid D,Adidas Pro Color Mid D
129-4C-1055,$11.99 ,Adidas,Pro Intimidate 2 Fl,Adidas Pro Intimidate 2 Fl
133-8A-1082,$49.99 ,Adidas,Pro Model,Adidas Pro Model
33679,$19.99 ,Adidas,Pro Model 08,Adidas Pro Model 08
114-6B-1074,$11.99 ,Adidas,Pro Model 2G,Adidas Pro Model 2G
45-1A-1214,$32.99 ,Adidas,Pro Model D,Adidas Pro Model D
131-5C-1062,$49.99 ,Adidas,Proshell Hi WD,Adidas Proshell Hi WD
45-5A-1248,$39.99 ,Adidas,Quick Slant 2 D,Adidas Quick Slant 2 D
25-1A-1890,$24.99 ,Adidas,Quickslant 5 D,Adidas Quickslant 5 D
25-1A-1887,$24.99 ,Adidas,Quickslant 5 LX,Adidas Quickslant 5 LX
123-4A-1062,$11.99 ,Adidas,Quickslant MD Mid,Adidas Quickslant MD Mid
03-3A-2114,$49.99 ,Adidas,Rapid Bounce,Adidas Rapid Bounce
32868,$19.99 ,Adidas,Rapid Bounce Promo,Adidas Rapid Bounce Promo
106-11A-1098,$49.99 ,Adidas,Rapid Bounce W,Adidas Rapid Bounce W
45964,$29.99 ,Adidas,Raziya II,Adidas Raziya II
23803,$29.99 ,Adidas,Response Trainer ,Adidas Response Trainer 
30-1C-2135,$49.99 ,Adidas,Samba,Adidas Samba
129-4C-1058,$49.99 ,Adidas,Samba 80 Select,Adidas Samba 80 Select
45-5A-1260,$39.99 ,Adidas,Scorch 3 D,Adidas Scorch 3 D
44-2B-1534,$39.99 ,Adidas,Scorch 3 D Pro,Adidas Scorch 3 D Pro
45-5A-1256,$39.99 ,Adidas,Scorch 3 Mid D,Adidas Scorch 3 Mid D
114-1B-1024,$14.99 ,Adidas,Scorch 7 D Low,Adidas Scorch 7 D Low
33-3B-2123,$24.99 ,Adidas,Scorch Lo Detac,Adidas Scorch Lo Detac
44-2B-1538,$39.99 ,Adidas,Scorch M TRXPBX,Adidas Scorch M TRXPBX
41-2B-1822,$34.99 ,Adidas,Scorch3 TRX,Adidas Scorch3 TRX
45-1A-1215,$37.99 ,Adidas,Scorch3 Trx Pro,Adidas Scorch3 Trx Pro
44-2B-1541,$39.99 ,Adidas,Scorch3m Trx Pro,Adidas Scorch3m Trx Pro
28-1A-1997,$24.99 ,Adidas,Scorch3M TRXPro,Adidas Scorch3M TRXPro
45-5A-1257,$39.99 ,Adidas,Scrch 3 M D Pro,Adidas Scrch 3 M D Pro
31-1B-2040,$24.99 ,Adidas,SM Illrahna Response NBA,Adidas SM Illrahna Response NBA
17-2A-1962,$24.99 ,Adidas,SM Pro Model 08,Adidas SM Pro Model 08
38-1B-1598,$19.99 ,Adidas,SM Rapid Bounce Promo,Adidas SM Rapid Bounce Promo
108-9B-1000,$14.99 ,Adidas,SM TS Commander Monogram,Adidas SM TS Commander Monogram
23547,$62.99 ,Adidas,Snova Glide 2,Adidas Snova Glide 2
121-4B-1074,$13.99 ,Adidas,Speed Trap LT,Adidas Speed Trap LT
17-5C-1933,$24.99 ,Adidas,Spinner 3,Adidas Spinner 3
109-7B-1125,$7.99 ,Adidas,Spinner 7 Mid,Adidas Spinner 7 Mid
3804,$22.99 ,Adidas,Spinner 9 Low,Adidas Spinner 9 Low
22-4C-1886,$24.99 ,Adidas,Spinner III,Adidas Spinner III
41-2B-1832,$34.99 ,Adidas,Spinner IV 3/4,Adidas Spinner IV 3/4
30-1C-2140,$49.99 ,Adidas,Stan Smith 1 Graph,Adidas Stan Smith 1 Graph
29-2A-1894,$34.99 ,Adidas,Stan Smith 2,Adidas Stan Smith 2
23-4A-2079,$49.99 ,Adidas,Stan Smith 2 LE,Adidas Stan Smith 2 LE
30-3C-1678,$49.99 ,Adidas,Stan Smith 2 LEA,Adidas Stan Smith 2 LEA
129-4C-1059,$49.99 ,Adidas,Stan Smith 2.5,Adidas Stan Smith 2.5
06-7C-1113,$49.99 ,Adidas,Stan Smith Vulcanized,Adidas Stan Smith Vulcanized
42838,$29.99 ,Adidas,Supercup Low,Adidas Supercup Low
44048,$39.99 ,Adidas,Superstar,Adidas Superstar
54-2C-1186,$49.99 ,Adidas,Superstar 1,Adidas Superstar 1
134-10B-1096,$49.99 ,Adidas,Superstar 1 CLR,Adidas Superstar 1 CLR
102-6C-1051,$49.99 ,Adidas,Superstar 1 PT,Adidas Superstar 1 PT
22-6C-1699,$49.99 ,Adidas,Superstar 2,Adidas Superstar 2
132-2C-1041,$49.99 ,Adidas,Superstar 2 Cool,Adidas Superstar 2 Cool
30-3C-1677,$49.99 ,Adidas,Superstar 2 IS,Adidas Superstar 2 IS
54-2C-1192,$49.99 ,Adidas,Superstar 2 TL,Adidas Superstar 2 TL
41641,$62.99 ,Adidas,Superstar 2G,Adidas Superstar 2G
134-10B-1094,$49.99 ,Adidas,Superstar 2G W,Adidas Superstar 2G W
106-7C-1143,$49.99 ,Adidas,Superstar 80s,Adidas Superstar 80s
123-2C-1073,$16.99 ,Adidas,Superstar CB,Adidas Superstar CB
54-2C-1179,$49.99 ,Adidas,Superstar II,Adidas Superstar II
05-4C-1615,$49.99 ,Adidas,Superstar II BSC,Adidas Superstar II BSC
106-7C-1119,$49.99 ,Adidas,Superstar II CB,Adidas Superstar II CB
