identifier,name,price,search_q,sku,url
,Icematic NFK20  Iceflaker,232.50,nfk201,nfk201,http://www.belowtradeprices.co.uk/icematic-nfk201.aspx
,Simag RP250,227.04,Simag RP250,rp250,http://www.belowtradeprices.co.uk/simag-rp250.aspx
,Inomak RP155,205.44,rp155,rp155,http://www.belowtradeprices.co.uk/inomak-rp155.aspx
,Polar 6P-T316  Ice Makers,322.80,6p-t316,6p-t316,http://www.belowtradeprices.co.uk/polar-6p-t316.aspx
,Interlevin HF20S Ice Maker,160.50,hf20s,hf20s,http://www.belowtradeprices.co.uk/interlevin-hf20s.aspx
,Polar 6P-G620  Ice Makers,227.94,6p-g620,6p-g620,http://www.belowtradeprices.co.uk/polar-6p-g620.aspx
,Interlevin AP3S Ice Maker,121.50,ap3s,ap3s,http://www.belowtradeprices.co.uk/interlevin-ap3s.aspx
,Polar 6P-T315  Ice Makers,169.14,6p-t315,6p-t315,http://www.belowtradeprices.co.uk/polar-6p-t315.aspx
,Vestfrost T2-10388,62.65,t2-10388,t2-10388,http://www.belowtradeprices.co.uk/vestfrost-t2-10388.aspx
,Infrico T3-SHELF155,49.92,t3-shelf155,t3-shelf155,http://www.belowtradeprices.co.uk/infrico-t3-shelf155.aspx
,Infrico T3-SHELF135,49.92,t3-shelf135,t3-shelf135,http://www.belowtradeprices.co.uk/infrico-t3-shelf135.aspx
,Infrico T3-SLIDE135,47.04,t3-slide135,t3-slide135,http://www.belowtradeprices.co.uk/infrico-t3-slide135.aspx
,Infrico T3-CLIP120,32.28,t3-clip120,t3-clip120,http://www.belowtradeprices.co.uk/infrico-t3-clip120.aspx
,Mareno NEN9-4C WORK TOPS,669.06,mareno nen9-4c work tops,mareno nen9-4c work tops,http://www.belowtradeprices.co.uk/mareno-mareno-nen9-4c-work-tops.aspx
,Mareno NEN9-8 WORK TOPS,625.97,mareno nen9-8 work tops,mareno nen9-8 work tops,http://www.belowtradeprices.co.uk/mareno-mareno-nen9-8-work-tops.aspx
,Mareno NEN7-6C Worktop unit,619.92,mareno nen7-6c worktop unit,mareno nen7-6c worktop unit,http://www.belowtradeprices.co.uk/mareno-mareno-nen7-6c-worktop-unit.aspx
,Rosinox TABLETTE 200-RF WORKTOPS - BASES,558.68,tablette 200-rf,tablette 200-rf,http://www.belowtradeprices.co.uk/rosinox-tablette-200-rf.aspx
,Mareno PL60 WORKTOPS,550.37,mareno pl60 worktops,mareno pl60 worktops,http://www.belowtradeprices.co.uk/mareno-mareno-pl60-worktops.aspx
,Mareno NEN7-8 Worktop unit,548.10,mareno nen7-8 worktop unit,mareno nen7-8 worktop unit,http://www.belowtradeprices.co.uk/mareno-mareno-nen7-8-worktop-unit.aspx
,Mareno NEN9-6 WORK TOPS,543.56,mareno nen9-6 work tops,mareno nen9-6 work tops,http://www.belowtradeprices.co.uk/mareno-mareno-nen9-6-work-tops.aspx
,Mareno NEN7-4C Worktop unit,510.30,mareno nen7-4c worktop unit,mareno nen7-4c worktop unit,http://www.belowtradeprices.co.uk/mareno-mareno-nen7-4c-worktop-unit.aspx
,Mareno NEN7-6 Worktop unit,499.20,mareno nen7-6 worktop unit,mareno nen7-6 worktop unit,http://www.belowtradeprices.co.uk/mareno-mareno-nen7-6-worktop-unit.aspx
,Mareno NEN9-4 WORK TOPS,499.20,mareno nen9-4 work tops,mareno nen9-4 work tops,http://www.belowtradeprices.co.uk/mareno-mareno-nen9-4-work-tops.aspx
,Mareno PL40 WORKTOPS,491.28,mareno pl40 worktops,mareno pl40 worktops,http://www.belowtradeprices.co.uk/mareno-mareno-pl40-worktops.aspx
,Mareno NEN9-2 WORK TOPS,484.80,mareno nen9-2 work tops,mareno nen9-2 work tops,http://www.belowtradeprices.co.uk/mareno-mareno-nen9-2-work-tops.aspx
,Mareno NEN7-4 Worktop unit,441.60,mareno nen7-4 worktop unit,mareno nen7-4 worktop unit,http://www.belowtradeprices.co.uk/mareno-mareno-nen7-4-worktop-unit.aspx
,Mareno PL6 WORKTOPS,429.36,mareno pl6 worktops,mareno pl6 worktops,http://www.belowtradeprices.co.uk/mareno-mareno-pl6-worktops.aspx
,Mareno NEN7-2 Worktop unit,414.96,mareno nen7-2 worktop unit,mareno nen7-2 worktop unit,http://www.belowtradeprices.co.uk/mareno-mareno-nen7-2-worktop-unit.aspx
,Mareno PL4 WORKTOPS,378.96,mareno pl4 worktops,mareno pl4 worktops,http://www.belowtradeprices.co.uk/mareno-mareno-pl4-worktops.aspx
,Maidaid ICE45 Icemaker Ice machine,833.28,Maidaid ICE45 Icemaker Ice machine,maidaid ice45,http://www.belowtradeprices.co.uk/maidaid-maidaid-ice45.aspx
,Brema CB246A INTEGRAL BIN CUBERS,883.01,cb249a,cb249a,http://www.belowtradeprices.co.uk/middleby-cb249a.aspx
,F 302 with SB 150 Bin Modular Ice Cuber SB150 Bin,1015.46,f 302 with sb 150 bin modular ice cuber sb150 bin,f 302 with sb 150 bin modular ice cuber sb150 bin,http://www.belowtradeprices.co.uk/foster-f-302-with-sb-150-bin-modular-ice-cuber-sb150-bin.aspx
,F 202 with SB 150 Bin Modular Ice Cuber SB150 Bin,1015.46,f 202 with sb 150 bin modular ice cuber sb150 bin,f 202 with sb 150 bin modular ice cuber sb150 bin,http://www.belowtradeprices.co.uk/foster-f-202-with-sb-150-bin-modular-ice-cuber-sb150-bin.aspx
,Simag SCN45,881.50,Simag SCN45,scn45,http://www.belowtradeprices.co.uk/simag-scn45.aspx
,AHT IM40 Ice Machine 40 Kg-24h,905.41,AHT IM40 Ice Machine 40 Kg-24h,im40,http://www.belowtradeprices.co.uk/aht-im40.aspx
,Brema CB184A INTEGRAL BIN CUBERS,872.42,cb246a,cb246a,http://www.belowtradeprices.co.uk/middleby-cb246a.aspx
,Icematic E35  Icemaker,862.50,Icematic E35  Icemaker,e35,http://www.belowtradeprices.co.uk/icematic-e35.aspx
,F 20 Integral Ice Cuber air cooled standard,984.16,f 20 integral ice cuber air cooled standard,f 20 integral ice cuber air cooled standard,http://www.belowtradeprices.co.uk/foster-f-20-integral-ice-cuber-air-cooled-standard.aspx
,Simag SCN35,818.75,Simag SCN35,scn35,http://www.belowtradeprices.co.uk/simag-scn35.aspx
,Maidaid ICE35 Icemaker Ice machine,725.76,Maidaid ICE35 Icemaker Ice machine,maidaid ice35,http://www.belowtradeprices.co.uk/maidaid-maidaid-ice35.aspx
,Interlevin ICE Three Ice Maker,880.42,Interlevin ICE Three Ice Maker,ice three,http://www.belowtradeprices.co.uk/interlevin-ice-three.aspx
,Inomak R155,809.68,r155,r155,http://www.belowtradeprices.co.uk/inomak-r155.aspx
,Whirlpool K40 Icemaker,661.50,Whirlpool K40 Icemaker,k40,http://www.belowtradeprices.co.uk/whirlpool-k40.aspx
,Halcyon Ice60 60kg Ice Machine,1296.54,ice60,ice60,http://www.belowtradeprices.co.uk/halcyon-ice60.aspx
