category,phone_type,description_headers,tags,phone,company_name,address,short_description,description_paragraphs,gen_description,company_site_url
Vikarbureauer,Fax,,,"42 78 11 41,49 75 10 19",GJ Vikar ApS,"Hvidovrevej 80 A, 2610 Rødovre",Not specified,,,http://www.gjvikar.dk
Vikarbureauer,,,,,"Konsulenthuset Ballisager, Odense-afdeling","Dannebrogsgade 1, 5000 Odense C",Not specified,,,Company site unknown
Vikarbureauer,,,,56 65 93 48,Arnes Bager Vikar,"Bodilsvej 5, 4600 Køge",Not specified,,,Company site unknown
Vikarbureauer,Fax,,,"70 22 33 00,48 79 78 97",Medikom Vikarbureau ApS,"Buchwaldsgade 50, 5000 Odense C",Not specified,,,http://www.medikom.dk
Vikarbureauer,Tlf.,,,"70 26 68 00,70 26 68 08",Friis International,"Amaliegade 14, 2. sal., 1256 København K",Not specified,,,Company site unknown
Vikarbureauer,,,,20 20 00 68,Elini,"Nymøllevej 127, 2800 Kgs. Lyngby",Not specified,,,Company site unknown
Vikarbureauer,Mobil,,,"46 32 45 33,20 67 69 89,20 81 91 16,20 90 69 80",DanaCare A/S,"Hersegade 18, 1. sal., 4000 Roskilde",Not specified,,,http://www.danacare.dk
Vikarbureauer,Fax,,,"33 32 79 95,33 32 79 94",Proffice Care A/S,"Sjæleboderne 2, 3. sal., 1122 København K",Not specified,,,http://www.profficecare.dk
Vikarbureauer,,,,,Romital-Sapori,"Sanddalvej 4, Sanddal, 7000 Fredericia",Not specified,,,Company site unknown
Vikarbureauer,,,,28 92 56 52,Backe Vikar,"Karetmagervej 39, 3100 Hornbæk",Not specified,,,Company site unknown
Vikarbureauer,,,,44 95 61 90,Testbureauet v/ Inge Merete Christensen,"Brudevænget 22, 3520 Farum",Not specified,,,Company site unknown
Vikarbureauer,,,,46 35 21 22,Lindbergs Multi Service,"Lysholmsvej 23, 4000 Roskilde",Not specified,,,Company site unknown
Vikarbureauer,Mobil,,,"54 85 00 65,29 65 99 63",Kenn Din Handymann,"Colbjørnsensvej 16, 4800 Nykøbing F",Not specified,,,Company site unknown
"Værktøjsmaskiner og -tilbehør,Vikarbureauer",Mobil,,,"73 52 22 85,28 71 22 85,73 52 22 86",Kim Schack Madsen,"Nørregade 44, 6100 Haderslev",Not specified,,,Company site unknown
"Tømrere og snedkere,Vikarbureauer",Mobil,,,"98 84 14 23,40 15 14 25,61 38 44 13",Ørsø Vikar Bureau,"Dorfvej 8, Ørsø, 9330 Dronninglund",Not specified,,,Company site unknown
Vikarbureauer,Mobil,,,"49 16 06 24,26 12 88 51,40 82 88 50,42 78 04 02",Direktør Ib Bergstrøm,"Enghavegårdsvej 64, Nr. Herlev, 3400 Hillerød",Not specified,,,Company site unknown
"Vikarbureauer,Restauranter",,,,50 50 19 59,Det Gode Landkøkken ApS,"Kongevejen 124 A, Lønholt, 3480 Fredensborg",Not specified,,,Company site unknown
Vikarbureauer,Tlf.,,,"63 16 00 61,63 16 00 71,75 94 52 35,75 94 52 36",Søgaard Industri A/S,"Kingstrupvej 46, 5592 Ejby",Not specified,,,Company site unknown
Vikarbureauer,Fax,,,"35 27 17 00,35 27 17 01,


    ,
                            ,
									,
								",Proffice Care A/S,"Sjæleboderne 2, 3. sal., 1122 København K",Not specified,,,http://www.proffice.dk
Vikarbureauer,,,,63 23 85 95,Helper Sp. Z O.O.,"Bregnebjergvej 1, Mellemballe, 5620 Glamsbjerg",Not specified,,,Company site unknown
Vikarbureauer,,,,53 38 00 09,Lisberg Invest v/ Mark Lisberg Christensen,"Stensgårdsvej 56, Erritsø, 7000 Fredericia",Not specified,,,Company site unknown
